Utterance,politeness,language,__index_level_0__,split
"That is why he is a ‘pretender’. He has never claimed to be a King - or a Kaiser, for that matter. He is in the same class as the Comte de Paris, who is not the King of France, but would be if the Bourbons were placed on a restored French throne.",0.6666666666666665,english,0,train
"Let's knock any 'EngVar' shenanigans on the head right away, shall we? The Manual of Style, as I understand it, makes it clear that the subject's national ties and own language set the course.",-0.33333333333333326,english,1,train
"Thank you for your contributions. There are some conventions that apply to articles, and medical articles in particular. Secondary sources were available for the material, and should be cited to validate the medical information from the studies.",1.6666666666666665,english,2,train
"The conversion of tacit to explicit knowledge is seen in for example the bread making machine's case. In response to your question, culture is a broad term. I would like to narrow it down to organization culture.",0.33333333333333304,english,3,train
"It is definitely coming along. I broke out my own copy of Welding Principles and Applications but it is the fifth edition (different ISBN than the current Jefus reference). I found a reference for When using metals which melt at a low temperature, such as aluminum, it is important to be fast and accurate with the filler material placement.",0.0,english,4,train
"Since its introduction in the early 90s, new computer video techniques have been introduced which the original AVI spec any compression technique which requires access to future video frame data beyond the current frame. I feel the same about this sentence. I've read and re-read it and I don't understand what it is trying to communicate.",0.0,english,5,train
"The following comments are included in maintenance tags in the article and related edit comments. I am copying them here, as they seem to constitute de facto Talk page contributions.",0.0,english,6,train
"Interview with Ninomiya Kazunari(Letters From Iwo Jima Paris Press Conference held on February 14, 2007) by JaME. Published October 28, 2007. Eastwood epic at the Berlin Film Festival by David Gordon Smith, February 13, 2007 SMAP's Kimutaku a different breed of idol by Philip Brasor.",0.33333333333333304,english,7,train
"I 9and other editors) have warned the above user against the attempted insertion of this material. The details are explained in the talk page for Margaret Spellings As the user is by his own admission engaged in a lawsuit against the subject, the edits, besides being violations of BLP policy, and also being highly unreasonable, are also blatant violation of our Conflict of Interest policy.",-0.33333333333333326,english,8,train
"Please don't edit the conductance page, that would be an incorrect definition. This page does not define conductance as Re(1/Z). It says conductance is given by that expression.",-0.33333333333333326,english,9,train
"Is it true that he originally gave this film two stars? That can’t be true because two stars is a negative review and he originally gave this film thumbs up. Not only that, Unforgiven is #9 on his list of the 10 best films of 1992.",0.33333333333333304,english,10,train
I have firmly requested that Ayra and Sigurd make an appearance as one of the contenders in the upcoming Super Smash Bros. Brawl. I object to having the characters from the second half of Fire Emblem: Genealogy of the Holy War to appear as one of the contenters.,-1.3333333333333335,english,11,train
"UCSF STUDENT 2 – Are the points included verifiable with cited secondary sources that are freely accessible? If not, specify… Yes, the points included are generally verifiable with cited secondary sources that are freely accessible. A few primary sources were used in this draft submission, but I found them to be properly utilized and consistent with Wikipedia's citation guidelines.",1.0,english,12,train
"Hello fellow Wikipedians, I have just added archive links to on Tabloid (newspaper format). Please take a moment to review my edit. If necessary, add after the link to keep me from modifying it.",1.333333333333333,english,13,train
"I have a question that hopefully someone can answer for me, my roommate just caught a rather small mouse in our apartment (by catch I mean he actually caught it humanely, not in a trap), he now is keeping it in a large box in our room as our pet. Is there a significant risk of disease from having him around here? What kind of disease?",1.333333333333333,english,14,train
"Revision 648068288, dated 20 February 2015 inserted the claim that two American military commanders, Lt. Gen. Walter Short and Adm. Husband Kimmel were demoted of their full ranks, and are now seeking to restore their reputations and full ranks. A citation is provided to an issue of Christian Science Monitor from 1996, but it's presumably not available online, so I can't check it.",0.0,english,15,train
"The Las Vegas Hilton is one of the only hotels in the Western Hemisphere with a 13th floor. Calling it an exception in the western hemisphere might be too much. I live in the western hemisphere and there is no fear of 13th floors here, and I doubt local hotels skip 13th floors - this breaks the supposed rule and makes Las Vegas Hilton pointless as an exception.",-0.33333333333333326,english,16,train
"There is no need to be combative and attack over typos. It is fully possible to have civil conversations. I am not sure if you have ever been to the United States page, but included in the listed context is 5 Government and politics.",-1.3333333333333335,english,17,train
The source that says that boiling frogs only fail to jump if they have no brains is telling a half-truth. It refers to an article in Nature which is available online (so why quote secondhand statements from a non-scientific magazine?).,-1.0,english,18,train
"This article is in desperate need of sourcing and cleanup to remove OR. I transwikied the gameplay modifier section to RemyWiki, a smaller wiki dedicated to IIDX. Some other information could possibly be moved there as well, such as the score system.",-0.33333333333333326,english,19,train
"I would like to add a link to bscwiki.com and bsccommunity.com, both of which are resources to help connect global Balanced Scorecard users and advance the knowledge of the community. The community and wiki are managed by people with over 10 years of experience in the Balanced Scorecard field and open to everyone with no cost or advertising associated with it.",0.6666666666666665,english,20,train
"In the Breeding section, there is the following sentence: They will not build a woven chrysalid, they become pupae internally and then they shed their skins. All lepidoptera shed their skin to become pupae (named chrysalis in butterflies) what is woven in some moths and even butterflies is a cocoon, nothing else.",0.0,english,21,train
"Regarding this, it's not a bad start, but several observations: First, we should of course add the sources above (that's part of the reason it was reverted). And second, it actually does not go far enough - we have no sources at all that call Kaczynski an anarcho-primitivist by name.",-0.33333333333333326,english,22,train
"There is no such fact - you are just making things up. There is no reason to believe that any person reading about Bologna would be particularly interested in Kappa Sigma. If they wanted to know about Kappa Sigma, they would read the Kappa Sigma article instead.",-1.6666666666666667,english,23,train
