sentence,score
"@Smjg, thanks. But why did you also remove the categories I added?",-0.484595268
Thanks for change to Hugh de Grandmesnil - I am (It is) very short of refs for that article. Could you suggest one for your addition?,1.189654652
I'm not sure what you mean by the old factory farming discussion. Is something missing?,0.107457434
After ''New Jersey'' leaves the mainpage it will be nessicary for us to check all the article linked to USS ''New Jersey'' and ensure that no subtle vandalism crept into them by means of the USS ''New Jersey'' article. Are you willing to help?,0.553039275
"""Office actions will be clearly indicated both during and after to prevent ambiguities."" -- <url>. So then does that mean it was probably DMCA?",-0.143432755
"Another question: Does ""Senn"" exist in Japanese? If it does, is it possible to render Sennin as Senn-in?",0.31522755
"Hi, I was wondering why it is that <url> only has two articles in it -- and whether it should be kept. Has it ever been more fully populated?",0.346864333
"Not exactly clear what you mean: Wisconsin CDPs are just like CDPs in the rest of the country, and they already have <url>. Or do you mean something that I'm missing?",0.441768928
"What is the most common way to spell the first paragraph of an intro? is it ""lede"" or ""lead"" or something else?",-0.412708255
"At the Chicago house article, I think the current state of house music in its birthplace, Chicago, should be added. What do you think?",0.609137523
"Senta.jpg was garbled or empty or some such, so I deleted it. You might want to try re-uploading?",-0.122284066
Holy cow! What happened?,-0.219836583
"Never expected to see that word pop up on Wikipedia. Did youlearn it at AFU, or has it migrated further?",-0.213944458
"My page now has a template of ""multiple issues"", but I have put in several references, and there are links to other pages. What more should I do?",-0.126869072
"I see you removed the review, which makes sense until at least four days from now, when it won't be mentioned on the mainpage at all. But maybe leave a note at <url> so he doesn't feel put-off?",-0.591878663
"Having read your Userpage, it is unclear if you've ever actually '''been to''' South Africa (or Namibia for that matter) - but it is clear that you've made significant contributions. So first off, thanks a lot for all your apparent great work, and if I may ask, how much time have you spent in South Africa -- purely out of interest?",-0.337055646
"Say what? And what does this have to do with ""Happy New Year"" and my pretty picture?",-1.676574572
Is there really any serious debate that Mobile IE is remotely comparable to Safari mobile? What source would be acceptable to show this?,-0.081520014
Um... the Kent roast? Tentrake host?,-0.607571498
"If you're going to accuse me of operating in bad faith, then the discussion has become inappropriately personal. On what grounds do you make such an implication?",-1.861420153
Hi. Are you ready to start the RfA?,0.257353252
